0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:09 +0900] "GET /portfolio/board/view.do?no=20&id=kudam92 HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:12 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:13 +0900] "GET /portfolio/board/view.do?no=21&id=kudam92 HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:17 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:19 +0900] "GET /portfolio/board/view.do?no=22&id=kudam92 HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:21 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:40 +0900] "GET /portfolio/board/list.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:41 +0900] "GET /portfolio/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:41 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:42 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/beef.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/pork.jsp HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/img/pork_neck2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:23 +0900] "GET /portfolio/Member/login.jsp HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:23 +0900] "GET /portfolio/Member/common.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:28 +0900] "POST /portfolio/Member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:28 +0900] "GET /portfolio/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:28 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:28 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:28 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:31 +0900] "GET /portfolio/board/list.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:34 +0900] "GET /portfolio/Member/memberModify.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:34 +0900] "GET /portfolio/Member/memberModify.jsp HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:34 +0900] "GET /portfolio/css/memberRegister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:37 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:37 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:37 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:39 +0900] "GET /portfolio/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:39 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:39 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:39 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:40 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:49 +0900] "GET /portfolio/Member/idCheckForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:25 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:26 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:26 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:32 +0900] "GET /portfolio/Member/idCheckForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:37 +0900] "POST /portfolio/Member/idChecOK.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:11:48 +0900] "POST /portfolio/Member/idChecOK.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:51:08 +0900] "GET /portfolio/Member/idChecOK.jsp HTTP/1.1" 500 6891
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:14:27 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:14:30 +0900] "GET /portfolio/Member/idCheckForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:14:39 +0900] "POST /portfolio/Member/idChecOK.jsp HTTP/1.1" 500 2296
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:14:45 +0900] "GET /portfolio/Member/idCheckForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:14:49 +0900] "POST /portfolio/Member/idChecOK.jsp HTTP/1.1" 500 2296
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:18:58 +0900] "GET /portfolio/Member/memberRegister.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:19:00 +0900] "GET /portfolio/Member/idCheckForm.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/Nov/2020:13:19:04 +0900] "POST /portfolio/Member/idChecOK.jsp HTTP/1.1" 500 2296
